Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
601,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,468,UAE18468,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.5,28,0.303,UAE18468_HETEVULG_22.5,25.49257,56.36386,Vial,
1061,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,27,0.303,UAE18---_HETEVULG_22.9,25.48209,56.36566,NPNT-Lot,
1067,GoO,SharmRock,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.5,26.7,0.303,UAE18---_HETEVULG_22.5,25.48209,56.36566,NPNT-Lot,
670,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.8,28.7,0.304,UAE18---_HETEVULG_23.8,25.49257,56.36386,NPNT-Lot,black dorsal
788,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.1,26.7,0.305,UAE18---_HETEVULG_24.1,25.49257,56.36386,NPNT-Lot,mottled dorsal
681,GoO,Snoopy,SnoopyI,B12,Rockyreef,2/5/18,4.6,240,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.8,28.6,0.307,UAE18---_HETEVULG_23.8,25.49257,56.36386,NPNT-Lot,mottled dorsal
789,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.7,25.3,0.307,UAE18---_HETEVULG_21.7,25.49257,56.36386,NPNT-Lot,mottled dorsal
1330,GoO,Dibba,DibbaIII,B16,Rockyreef,3/5/18,4.1,280,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.6,26.9,0.309,UAE18---_HETEVULG_22.6,25.60254,56.35142,NPNT-Lot,
820,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.8,25.4,0.311,UAE18---_HETEVULG_20.8,25.49257,56.36386,NPNT-Lot,mottled dorsal
811,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.7,25.6,0.312,UAE18---_HETEVULG_21.7,25.49257,56.36386,NPNT-Lot,mottled dorsal
840,GoO,Dibba,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.9,27.1,0.312,UAE18---_HETEVULG_21.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
